Long Station Name,Collection Date,EC,Sacramento X2,Location,WYT,Ca
Grant Ln Can @ Tracy Rd Bdg,10/7/1992,881,92.45317986,SouthDelta,AN,42
Grant Line/Fabian/Bell Canals nr Old R.,10/7/1992,684,92.45317986,SouthDelta,AN,23
Old River @ Middle River,12/22/2008,900,92.48009562,SouthDelta,D,42
Rock Slough @ Old River,8/7/1991,546,92.52821793,OMR,C,14
Old River North of Rock Slough (St 4b),8/7/1991,539,92.52821793,OMR,C,14
Grant Line/Fabian/Bell Canals nr Old R.,8/7/1991,536,92.52821793,SouthDelta,C,18
Contra Costa PP Number 01,9/11/1991,782,92.53683095,OMR,C,15
Rock Slough @ Old River,8/6/1992,878,92.5804813,OMR,C,18
Old River North of Rock Slough (St 4b),8/6/1992,840,92.5804813,OMR,C,18
Old River South of Rock Slough (St 5A),4/1/1990,751,92.60495482,OMR,C,19
Rock Slough @ Old River,11/28/1990,949,92.60675328,OMR,C,29
Old River North of Rock Slough (St 4b),11/28/1990,959,92.60675328,OMR,C,20
Grant Line/Fabian/Bell Canals nr Old R.,11/28/1990,829,92.60675328,SouthDelta,C,38
Clifton Court Intake,6/4/1992,569,92.61021102,OMR,C,22
Contra Costa PP Number 01,11/9/1994,988,92.63852791,OMR,W,36
Contra Costa PP Number 01,1/23/1992,732,92.69366513,OMR,C,20
Middle River at Bacon Island Bridge,1/23/1992,455,92.69366513,OMR,C,20
Rock Slough @ Old River,1/23/1992,792,92.69366513,OMR,C,19
San Joaquin River @ Mossdale Bridge - C7A,1/23/1992,1080,92.69366513,SJRcorridor,C,50
Little Connection Sl. @ Empire Tr.,1/23/1992,247,92.69366513,SJRcorridor,C,18
Old River nr Tracy,1/23/1992,1150,92.69366513,SouthDelta,C,54
Grant Ln Can @ Tracy Rd Bdg,1/23/1992,1100,92.69366513,SouthDelta,C,51
Grant Line/Fabian/Bell Canals nr Old R.,1/23/1992,546,92.69366513,SouthDelta,C,22
Rock Slough @ Old River,6/26/1991,647,92.70986559,OMR,C,17
Old River North of Rock Slough (St 4b),6/26/1991,639,92.70986559,OMR,C,17
Grant Line/Fabian/Bell Canals nr Old R.,6/26/1991,636,92.70986559,SouthDelta,C,20
Middle River at Bacon Island Bridge,1/15/1991,501,92.72130445,OMR,C,21
San Joaquin River @ Mossdale Bridge - C7A,12/12/2009,789,92.72553683,SJRcorridor,BN,40
SAN JOAQUIN R A BRANDT BR        ,12/12/2009,766,92.72553683,SJRcorridor,BN,40
Clifton Court Intake,9/10/1991,469,92.73110822,OMR,C,15
Middle River at Bacon Island Bridge,9/10/1991,323,92.73110822,OMR,C,13
Middle River at Bacon Island Bridge,10/20/1994,464,92.73586707,OMR,W,20
Clifton Court Intake,10/20/1994,451,92.73586707,OMR,W,16
Rock Slough @ Old River,10/20/1994,636,92.73586707,OMR,W,15
Rock Slough @ Old River,1/16/1991,862,92.74078739,OMR,C,20
Old River North of Rock Slough (St 4b),1/16/1991,861,92.74078739,OMR,C,20
Grant Line/Fabian/Bell Canals nr Old R.,1/16/1991,1150,92.74078739,SouthDelta,C,56
Contra Costa PP Number 01,12/2/2008,574,92.75840841,OMR,D,21
Middle River @ Union Point - P10A,12/2/2008,511,92.75840841,OMR,D,19
Middle River @ Union Point - P10A,12/2/2008,511,92.75840841,SouthDelta,D,19
Contra Costa PP Number 01,11/6/2001,898,92.77803114,OMR,D,21
Rock Slough @ Old River,7/24/1991,596,92.78926842,OMR,C,15
Old River North of Rock Slough (St 4b),7/24/1991,595,92.78926842,OMR,C,15
Middle River at Bacon Island Bridge,7/24/1991,404,92.78926842,OMR,C,15
San Joaquin River @ Mossdale Bridge - C7A,7/24/1991,962,92.78926842,SJRcorridor,C,49
Little Connection Sl. @ Empire Tr.,7/24/1991,275,92.78926842,SJRcorridor,C,13
Old River nr Tracy,7/24/1991,1110,92.78926842,SouthDelta,C,54
Grant Ln Can @ Tracy Rd Bdg,7/24/1991,974,92.78926842,SouthDelta,C,48
Grant Line/Fabian/Bell Canals nr Old R.,7/24/1991,511,92.78926842,SouthDelta,C,30
Middle R @ Tracy Rd Bdg,7/24/1991,454,92.78926842,SouthDelta,C,18
Contra Costa PP Number 01,6/24/1991,705,92.83977948,OMR,C,18
Middle River at Bacon Island Bridge,9/24/1992,458,92.85385013,OMR,C,18
Clifton Court Intake,9/24/1992,717,92.85385013,OMR,C,17
Old River North of Rock Slough (St 4b),10/31/1990,832,92.89347904,OMR,C,19
Rock Slough @ Old River,10/31/1990,828,92.89347904,OMR,C,19
Grant Line/Fabian/Bell Canals nr Old R.,10/31/1990,817,92.89347904,SouthDelta,C,32
Old River North of Rock Slough (St 4b),6/13/1991,719,92.96709129,OMR,C,18
Rock Slough @ Old River,6/13/1991,713,92.96709129,OMR,C,18
Grant Line/Fabian/Bell Canals nr Old R.,6/13/1991,575,92.96709129,SouthDelta,C,20
Middle River at Bacon Island Bridge,1/7/1992,519,93.01508883,OMR,C,24
Contra Costa PP Number 01,12/3/2002,850,93.0185482,OMR,AN,23
Middle River @ Union Point - P10A,11/3/2008,443,93.02142734,OMR,D,19
Contra Costa PP Number 01,11/3/2008,642,93.02142734,OMR,D,17
Middle River @ Union Point - P10A,11/3/2008,443,93.02142734,SouthDelta,D,19
Rock Slough @ Old River,12/12/1990,1100,93.02603777,OMR,C,22
Old River North of Rock Slough (St 4b),12/12/1990,1060,93.02603777,OMR,C,21
Grant Line/Fabian/Bell Canals nr Old R.,12/12/1990,781,93.02603777,SouthDelta,C,22
Clifton Court Intake,6/25/1991,607,93.04612539,OMR,C,19
Clifton Court Intake,12/11/1990,853,93.08539402,OMR,C,23
Middle River at Bacon Island Bridge,12/11/1990,542,93.08539402,OMR,C,22
Middle River at Bacon Island Bridge,11/27/1990,618,93.19458317,OMR,C,24
Old River South of Rock Slough (St 5A),1/4/1991,860,93.20280671,OMR,C,21
Old River South of Rock Slough (St 5A),11/18/1985,992,93.20373275,OMR,W,18
Middle River @ Union Point - P10A,6/1/2015,697,93.2549537,OMR,C,24
Middle River @ Union Point - P10A,6/1/2015,697,93.2549537,SouthDelta,C,24
Middle River at Bacon Island Bridge,10/30/1990,656,93.26510574,OMR,C,28
Middle River @ Union Point - P10A,12/2/2013,507,93.39492499,OMR,C,18
Middle River @ Union Point - P10A,12/2/2013,507,93.39492499,SouthDelta,C,18
Middle River at Bacon Island Bridge,8/4/1992,571,93.425676,OMR,C,18
Middle River at Bacon Island Bridge,11/21/1991,547,93.42904814,OMR,C,20
Clifton Court Intake,11/21/1991,688,93.42904814,OMR,C,18
Middle River at Bacon Island Bridge,1/2/1991,536,93.51732212,OMR,C,21
Rock Slough @ Old River,1/2/1991,907,93.51732212,OMR,C,20
Old River North of Rock Slough (St 4b),1/2/1991,880,93.51732212,OMR,C,20
Grant Line/Fabian/Bell Canals nr Old R.,1/2/1991,1100,93.51732212,SouthDelta,C,52
Old River near Rock Slough,8/18/1959,1000,93.54824528,OMR,BN,27
Old River near Rock Slough,8/18/1959,937,93.54824528,OMR,BN,18
Middle River @ Union Point - P10A,6/2/2014,436,93.56618111,OMR,C,18
Middle River @ Union Point - P10A,6/2/2014,436,93.56618111,SouthDelta,C,18
Middle River @ Union Point - P10A,12/1/2014,542,93.6049299,OMR,C,18
Middle River @ Union Point - P10A,12/1/2014,542,93.6049299,SouthDelta,C,18
Contra Costa PP Number 01,11/19/1991,836,93.6335894,OMR,C,18
Clifton Court Intake,11/19/1992,737,93.66767375,OMR,AN,22
Middle River at Bacon Island Bridge,11/19/1992,607,93.66767375,OMR,AN,22
Old River South of Rock Slough (St 5A),3/3/1989,807,93.76129389,OMR,D,19
Rock Slough @ Old River,2/14/1991,1070,93.77396204,OMR,C,23
Old River North of Rock Slough (St 4b),2/14/1991,1090,93.77396204,OMR,C,22
Grant Line/Fabian/Bell Canals nr Old R.,2/14/1991,1080,93.77396204,SouthDelta,C,50
Old River North of Rock Slough (St 4b),10/17/1990,863,93.81403956,OMR,C,19
Rock Slough @ Old River,10/17/1990,847,93.81403956,OMR,C,19
Grant Line/Fabian/Bell Canals nr Old R.,10/17/1990,761,93.81403956,SouthDelta,C,31
Old River @ Tracy Road Bridge - P12,12/11/2008,1047,93.85276614,SouthDelta,D,50
Grant Line Canal @ Tracy Blvd,12/11/2008,898,93.85276614,SouthDelta,D,43
Middle River @ Union Point - P10A,11/2/2015,675,93.88533024,OMR,BN,19
Middle River @ Union Point - P10A,11/2/2015,675,93.88533024,SouthDelta,BN,19
Middle River at Bacon Island Bridge,11/13/1990,625,93.89378554,OMR,C,27
Clifton Court Intake,11/13/1990,689,93.89378554,OMR,C,21
Old River North of Rock Slough (St 4b),11/14/1990,859,93.90716742,OMR,C,18
Rock Slough @ Old River,11/14/1990,848,93.90716742,OMR,C,18
Grant Line/Fabian/Bell Canals nr Old R.,11/14/1990,715,93.90716742,SouthDelta,C,24
Middle River @ Union Point - P10A,2/3/2014,774,93.92384943,OMR,C,26
Middle River @ Union Point - P10A,2/3/2014,774,93.92384943,SouthDelta,C,26
Middle River at Bacon Island Bridge,10/10/1990,481,93.96433834,OMR,C,21
Middle River at Bacon Island Bridge,10/16/1990,542,94.0236734,OMR,C,22
Middle River at Bacon Island Bridge,10/24/1990,585,94.04183083,OMR,C,23
Rock Slough @ Old River,10/24/1990,960,94.04183083,OMR,C,20
Old River North of Rock Slough (St 4b),10/24/1990,921,94.04183083,OMR,C,20
Little Connection Sl. @ Empire Tr.,10/24/1990,191,94.04183083,SJRcorridor,C,12
San Joaquin River @ Mossdale Bridge - C7A,10/24/1990,739,94.04183083,SJRcorridor,C,36
Old River nr Tracy,10/24/1990,1140,94.04183083,SouthDelta,C,59
