Long Station Name,Collection Date,EC,Sacramento X2,Location,WYT,Br
Contra Costa PP Number 01,2/3/1999,352,51.6298188,OMR,W,0.11
Contra Costa PP Number 01,4/8/1999,324,57.34361395,OMR,W,0.1
Contra Costa PP Number 01,5/5/1999,451,57.23000982,OMR,W,0.15
Contra Costa PP Number 01,6/2/1999,288,67.44761682,OMR,W,0.08
Contra Costa PP Number 01,7/8/1999,211,73.33227294,OMR,W,0.05
Contra Costa PP Number 01,8/5/1999,218,71.77110367,OMR,W,0.06
Contra Costa PP Number 01,10/7/1999,892,85.55971154,OMR,AN,0.44
Contra Costa PP Number 01,12/7/1999,1390,84.3486242,OMR,AN,0.66
Contra Costa PP Number 01,1/4/2000,1186,80.55744457,OMR,AN,0.77
Contra Costa PP Number 01,2/8/2000,385,57.61717763,OMR,AN,0.12
Contra Costa PP Number 01,3/7/2000,1125,48.16682697,OMR,AN,0.35
Contra Costa PP Number 01,4/4/2000,391,70.46558651,OMR,AN,0.09
Contra Costa PP Number 01,5/2/2000,381,63.70366373,OMR,AN,0.1
Contra Costa PP Number 01,6/6/2000,254,72.94579268,OMR,AN,0.06
Contra Costa PP Number 01,7/3/2000,229,80.70368222,OMR,AN,0.05
Contra Costa PP Number 01,8/2/2000,244,77.4197889,OMR,AN,0.07
Contra Costa PP Number 01,10/3/2000,548,87.25802224,OMR,D,0.34
Contra Costa PP Number 01,11/7/2000,668,84.3926938,OMR,D,0.43
Contra Costa PP Number 01,1/8/2001,1030,94.68792213,OMR,D,0.6
Contra Costa PP Number 01,2/6/2001,943,82.30525912,OMR,D,0.5
Contra Costa PP Number 01,3/6/2001,753,70.05240742,OMR,D,0.3
Contra Costa PP Number 01,4/4/2001,341,72.87905364,OMR,D,0.08
Contra Costa PP Number 01,6/6/2001,335,80.28545946,OMR,D,0.11
Contra Costa PP Number 01,11/6/2001,898,92.77803114,OMR,D,0.58
Contra Costa PP Number 01,12/3/2001,750,82.50576236,OMR,D,0.45
Contra Costa PP Number 01,1/8/2002,616,54.28372948,OMR,D,0.25
Contra Costa PP Number 01,2/5/2002,385,70.70857903,OMR,D,0.09
Contra Costa PP Number 01,4/2/2002,295,71.94484474,OMR,D,0.08
Contra Costa PP Number 01,5/6/2002,350,71.01564345,OMR,D,0.1
Contra Costa PP Number 01,6/4/2002,330,69.35185908,OMR,D,0.11
Contra Costa PP Number 01,7/2/2002,262,80.39099747,OMR,D,0.08
Contra Costa PP Number 01,8/5/2002,665,83.27712196,OMR,D,0.44
Contra Costa PP Number 01,9/4/2002,854,88.12309273,OMR,D,0.6
Contra Costa PP Number 01,10/8/2002,1120,89.3846487,OMR,AN,0.73
Contra Costa PP Number 01,11/5/2002,874,91.73476989,OMR,AN,0.57
Contra Costa PP Number 01,12/3/2002,850,93.0185482,OMR,AN,0.46
Contra Costa PP Number 01,1/7/2003,1010,51.99960319,OMR,AN,0.57
Contra Costa PP Number 01,2/3/2003,1070,54.06515388,OMR,AN,0.46
Contra Costa PP Number 01,3/3/2003,591,60.574921,OMR,AN,0.17
Contra Costa PP Number 01,4/1/2003,663,69.81194277,OMR,AN,0.18
Contra Costa PP Number 01,5/6/2003,330,51.50084909,OMR,AN,0.08
Contra Costa PP Number 01,6/4/2003,293,66.71648137,OMR,AN,0.08
Contra Costa PP Number 01,8/5/2003,348,69.2729812,OMR,AN,0.15
Contra Costa PP Number 01,9/10/2003,388,81.97587927,OMR,AN,0.22
Contra Costa PP Number 01,10/7/2003,604,88.64679121,OMR,BN,0.38
Contra Costa PP Number 01,11/4/2003,673,88.40480968,OMR,BN,0.43
Contra Costa PP Number 01,12/3/2003,724,87.61870823,OMR,BN,0.48
Contra Costa PP Number 01,1/6/2004,784,55.58733795,OMR,BN,0.51
Contra Costa PP Number 01,2/3/2004,322,71.8099759,OMR,BN,0.08
Contra Costa PP Number 01,3/2/2004,500,49.65011755,OMR,BN,0.1
Contra Costa PP Number 01,4/6/2004,238,69.18983307,OMR,BN,0.03
Contra Costa PP Number 01,5/4/2004,233,76.25300399,OMR,BN,0.04
Contra Costa PP Number 01,6/8/2004,308,86.24729429,OMR,BN,0.09
Contra Costa PP Number 01,7/7/2004,430,83.05294294,OMR,BN,0.16
Contra Costa PP Number 01,8/3/2004,470,81.28623188,OMR,BN,0.29
Contra Costa PP Number 01,9/8/2004,540,83.45154489,OMR,BN,0.32
Contra Costa PP Number 01,10/6/2004,730,80.20091081,OMR,AN,0.38
Contra Costa PP Number 01,11/1/2004,765,83.50140273,OMR,AN,0.32
Contra Costa PP Number 01,12/6/2004,579,88.99645057,OMR,AN,0.36
Contra Costa PP Number 01,1/3/2005,640,63.06546569,OMR,AN,0.47
Contra Costa PP Number 01,2/7/2005,379,66.68285541,OMR,AN,0.11
Contra Costa PP Number 01,3/7/2005,654,57.47547175,OMR,AN,0.2
Contra Costa PP Number 01,4/4/2005,499,55.79737907,OMR,AN,0.15
Contra Costa PP Number 01,5/3/2005,346,60.83995013,OMR,AN,0.1
Contra Costa PP Number 01,6/7/2005,256,54.24209382,OMR,AN,0.07
Contra Costa PP Number 01,7/6/2005,151,69.97360216,OMR,AN,0.03
Contra Costa PP Number 01,8/2/2005,196,80.7913406,OMR,AN,0.04
Contra Costa PP Number 01,9/6/2005,418,83.07162013,OMR,AN,0.27
Contra Costa PP Number 01,10/3/2005,504,81.90521431,OMR,W,0.35
Contra Costa PP Number 01,11/7/2005,468,89.68142253,OMR,W,0.27
Contra Costa PP Number 01,12/5/2005,660,82.80590189,OMR,W,0.43
Contra Costa PP Number 01,1/3/2006,703,0,OMR,W,0.55
Contra Costa PP Number 01,2/6/2006,491,52.81827396,OMR,W,0.18
Contra Costa PP Number 01,3/6/2006,232,50.66954548,OMR,W,0.05
Contra Costa PP Number 01,4/3/2006,428,47.97842568,OMR,W,0.1
Middle River @ Union Point - P10A,7/5/2006,154,67.43685291,OMR,W,0.05
Middle River @ Union Point - P10A,7/5/2006,154,67.43685291,SouthDelta,W,0.05
Contra Costa PP Number 01,7/5/2006,162,67.43685291,OMR,W,0.04
Middle River @ Union Point - P10A,8/2/2006,261,78.28975195,OMR,W,0.08
Middle River @ Union Point - P10A,8/2/2006,261,78.28975195,SouthDelta,W,0.08
Middle River @ Union Point - P10A,9/6/2006,240,78.70958184,OMR,W,0.08
Middle River @ Union Point - P10A,9/6/2006,240,78.70958184,SouthDelta,W,0.08
Middle River @ Union Point - P10A,10/3/2006,253,79.15994988,OMR,D,0.08
Middle River @ Union Point - P10A,10/3/2006,253,79.15994988,SouthDelta,D,0.08
Contra Costa PP Number 01,10/3/2006,272,79.15994988,OMR,D,0.11
Middle River @ Union Point - P10A,11/7/2006,274,88.98570418,OMR,D,0.1
Middle River @ Union Point - P10A,11/7/2006,274,88.98570418,SouthDelta,D,0.1
Contra Costa PP Number 01,11/7/2006,302,88.98570418,OMR,D,0.14
Middle River @ Union Point - P10A,12/5/2006,341,88.65054031,OMR,D,0.13
Middle River @ Union Point - P10A,12/5/2006,341,88.65054031,SouthDelta,D,0.13
Contra Costa PP Number 01,12/5/2006,461,88.65054031,OMR,D,0.25
Middle River @ Union Point - P10A,1/2/2007,490,80.23657174,OMR,D,0.23
Middle River @ Union Point - P10A,1/2/2007,490,80.23657174,SouthDelta,D,0.23
Contra Costa PP Number 01,1/2/2007,704,80.23657174,OMR,D,0.44
Contra Costa PP Number 01,2/6/2007,456,79.89948567,OMR,D,0.21
Middle River @ Union Point - P10A,2/6/2007,460,79.89948567,OMR,D,0.19
Middle River @ Union Point - P10A,2/6/2007,460,79.89948567,SouthDelta,D,0.19
Contra Costa PP Number 01,3/5/2007,315,58.91442023,OMR,D,0.11
Middle River @ Union Point - P10A,3/5/2007,485,58.91442023,OMR,D,0.18
Middle River @ Union Point - P10A,3/5/2007,485,58.91442023,SouthDelta,D,0.18
Contra Costa PP Number 01,4/2/2007,255,72.02877378,OMR,D,0.04
Middle River @ Union Point - P10A,4/2/2007,318,72.02877378,OMR,D,0.08
Middle River @ Union Point - P10A,4/2/2007,318,72.02877378,SouthDelta,D,0.08
Contra Costa PP Number 01,5/2/2007,268,74.44600721,OMR,D,0.06
Middle River @ Union Point - P10A,5/2/2007,346,74.44600721,OMR,D,0.1
Middle River @ Union Point - P10A,5/2/2007,346,74.44600721,SouthDelta,D,0.1
Contra Costa PP Number 01,6/4/2007,324,80.25338455,OMR,D,0.1
Middle River @ Union Point - P10A,6/4/2007,399,80.25338455,OMR,D,0.13
Middle River @ Union Point - P10A,6/4/2007,399,80.25338455,SouthDelta,D,0.13
Contra Costa PP Number 01,7/2/2007,264,80.94470218,OMR,D,0.06
Middle River @ Union Point - P10A,7/2/2007,303,80.94470218,OMR,D,0.08
Middle River @ Union Point - P10A,7/2/2007,303,80.94470218,SouthDelta,D,0.08
Middle River @ Union Point - P10A,8/6/2007,277,84.7182393,OMR,D,0.11
Middle River @ Union Point - P10A,8/6/2007,277,84.7182393,SouthDelta,D,0.11
Contra Costa PP Number 01,8/6/2007,492,84.7182393,OMR,D,0.32
Middle River @ Union Point - P10A,9/5/2007,364,85.25541551,OMR,D,0.16
Middle River @ Union Point - P10A,9/5/2007,364,85.25541551,SouthDelta,D,0.16
Contra Costa PP Number 01,9/5/2007,812,85.25541551,OMR,D,0.63
Middle River @ Union Point - P10A,10/2/2007,335,87.02852586,OMR,C,0.15
Middle River @ Union Point - P10A,10/2/2007,335,87.02852586,SouthDelta,C,0.15
Contra Costa PP Number 01,10/2/2007,928,87.02852586,OMR,C,0.7
Middle River @ Union Point - P10A,11/6/2007,427,89.58054651,OMR,C,0.16
Middle River @ Union Point - P10A,11/6/2007,427,89.58054651,SouthDelta,C,0.16
Contra Costa PP Number 01,11/6/2007,1048,89.58054651,OMR,C,0.69
Middle River @ Union Point - P10A,12/4/2007,348,87.28423839,OMR,C,0.15
Middle River @ Union Point - P10A,12/4/2007,348,87.28423839,SouthDelta,C,0.15
Contra Costa PP Number 01,12/4/2007,1212,87.28423839,OMR,C,0.79
Middle River @ Union Point - P10A,1/3/2008,544,83.34570353,OMR,C,0.32
Middle River @ Union Point - P10A,1/3/2008,544,83.34570353,SouthDelta,C,0.32
Middle River @ Union Point - P10A,2/5/2008,456,54.87619201,OMR,C,0.17
Middle River @ Union Point - P10A,2/5/2008,456,54.87619201,SouthDelta,C,0.17
Contra Costa PP Number 01,2/5/2008,462,54.87619201,OMR,C,0.19
